aage, оге
wurtemberg, wurttemberg
wurtemberg, вюртемберг
wurttemberg, вюртемберг
xaver, ксавер
yakov, яков
yakovlev, яковлев
yamakawa, ямакава
yana, яна
yaroslav, ярослав
yelena, елена
yelena, олена
yelena, ելենա
yevgeny, євген
yevhen, євген
yngre, younger
yuzo, юдзо
zacharov, захаров
zakharov, захаров
zhao, чжао
zhou, чжоу
zhu, чжу
zhukov, жуков
zoja, зоя
zoya, зоя
zuber, цубер
łukasz, лукаш
αγνη, агнесса
αδολφος, адолф
αδολφος, адольф
αλβερτος, албрехт
αλβερτος, альбрехт
αλεξανδρος, александар
αλεξανδρος, александр
αλεξανδρος, александър
αλεξανδρος, олександр
αλμπερτο, альберто
αλφρεντ, альфред
ανταμ, адам
ανχαλτ, ангальт
ανχαλτ, анхалт
αυγουστος, август
βουρβονων, бурбон
βρανδεμβουργου, бранденбург
δωροθεα, доротея
ερνεστος, ернст
ερνεστος, эрнст
ζαν, жан
ζαν, ժան
ζαν, ჟან
ζοζεφ, жозеф
θεοδωρος, теодор
καρλοττα, шарлотта
καρολος, карл
καρολος, карло
κλοντ, клод
λεοπολδος, леопольд
μεκλεμβουργου, мекленбург
μπεν, бен
μπραουν, браун
μπρους, брюс
ντελλα, делла
παβελ, павел
παπας, папа
πασας, паша
ροδολφος, рудольф
ρομπερτ, роберт
ρομπερτ, робърт
ρομπερτ, ռոբերտ
ρομπερτ, რობერტ
στεφανος, стефан
τζακ, джек
τζον, джон
τζον, џон
τζον, ջոն
τζον, ჯონ
του, баден
φον, фон
φον, ფონ
φραντσεσκο, франческо
χανς, ганс
χανς, ханс
χερμαν, герман
χερμαν, херман
χουαν, хуан
авл, авъл
агнес, агнесса
адолф, адольф
акоп, հակոբ
акопян, հակոբյան
албрехт, альбрехт
александар, александр
александар, александър
александар, олександр
александар, ալեքսանդր
александр, александър
александр, олександр
александр, ալեքսանդր
александр, ალექსანდრე
александър, олександр
александър, ալեքսանդր
ангальт, анхалт
анна, ганна
артур, արթուր
арутюнян, հարությունյան
ашот, աշոտ
валтер, вальтер
волтер, уолтер
волфганг, вольфганг
вячеслав, ячеслав
вячеслав, վյաչեսլավ
гал, галл
ганс, ханс
ганс, հանս
геворг, գեւորգ
георг, գեորգ
герберт, херберт
герман, херман
гессен, хесен
гурген, գուրգեն
джак, джек
джон, џон
джон, ջոն
джон, ჯონ
джонсон, џонсон
едвард, едуард
едвард, эдвард
едвард, эдуард
едуард, эдвард
едуард, эдуард
елена, олена
елена, јелена
елена, ելենա
ендрю, эндрю
ернст, эрнст
жан, ժան
жан, ჟან
жозеф, ժոզեֆ
карл, карло
карл, კარლ
лев, լեւ
левон, լեւոն
мкртчян, մկրտչյան
ованес, հովհաննես
олександр, ալեքսանդր
ото, отто
ото, оттон
павел, павло
павел, պավել
паша, ფაშა
петар, петр
петр, петро
петр, պյոտր
петро, պյոտր
пьер, пјер
пьетро, єтро
роберт, робърт
роберт, ռոբերտ
роберт, რობერტ
робърт, ռոբերտ
рудолф, рудольф
татьяна, тетяна
татьяна, տատյանա
теодор, феодор
теодор, թեոդոր
федор, ֆեոդոր
фон, ფონ
франц, ֆրանց
хав, хавьер
хачатрян, խաչատրյան
хосе, խոսե
хосе, ხოსე
хуан, խուան
чарлз, чарлс
чарлз, чарльз
чарлс, чарльз
чарльз, չարլզ
шарлота, шарлотта
эдвард, էդվարդ
эндрю, էնդրյու
якоб, յակոբ
џејмс, ջեյմս
џон, ջոն
џон, ჯონ
ժան, ჟან
ջոն, ჯონ
